timestamp,signal
1749226205.257966,1
1749226206.266621,0
1749226207.2699995,1
1749226208.2738066,0
1749226209.2779038,1
1749226210.2819226,0
1749226211.3151343,1
1749226212.3186064,0
1749226213.3217244,1
1749226214.3250198,0
1749226215.3286967,1
1749226216.332269,0
1749226217.3354685,1
1749226218.3391037,0
1749226219.3419714,1
1749226220.345248,0
1749226221.3489118,1
1749226222.393239,0
1749226223.3963451,1
1749226224.4000514,0
1749226225.4035764,1
1749226226.4068875,0
1749226227.4100544,1
1749226228.4140425,0
1749226229.4187667,1
1749226230.4229476,0
1749226231.4266932,1
1749226232.4297903,0
1749226233.434908,0
1749226234.4388385,1
1749226235.4444175,0
