timestamp,signal
1749254570.363298,0
1749254570.4658787,0
1749254570.568734,0
1749254570.6707137,0
1749254570.7726562,0
1749254570.8744102,0
1749254570.9765973,0
1749254571.0788872,1
1749254571.182511,1
1749254571.2847867,1
1749254571.3876982,1
1749254571.5171692,1
1749254571.6388948,1
1749254571.7506104,1
1749254571.853394,1
1749254571.956049,1
1749254572.0590246,1
1749254572.1617222,1
1749254572.2639327,1
1749254572.3659978,1
1749254572.4688501,1
1749254572.571918,1
1749254572.6739514,1
1749254572.7764432,1
1749254572.878426,1
1749254572.9806957,1
1749254573.083103,1
1749254573.186104,1
1749254573.288828,1
1749254573.391126,1
1749254573.49432,1
1749254573.5972776,1
1749254573.7009308,1
1749254573.805998,1
1749254573.908809,1
1749254574.0110075,1
1749254574.1136394,0
1749254574.215849,0
1749254574.3204682,0
1749254574.4233012,0
1749254574.5256188,0
1749254574.6279805,0
1749254574.7307143,0
1749254574.8328495,0
1749254574.9350734,0
1749254575.0379581,0
1749254575.1403134,1
1749254575.2428746,1
1749254575.3448455,1
1749254575.4472146,1
1749254575.5499485,1
1749254575.652104,1
1749254575.7552423,1
1749254575.8586326,1
1749254575.961545,1
1749254576.0648153,1
1749254576.1669376,1
1749254576.2688415,1
1749254576.3709683,1
1749254576.4761353,1
1749254576.5868506,1
1749254576.7027943,1
1749254576.8073397,1
1749254576.9105382,1
1749254577.0143085,1
1749254577.1173291,1
1749254577.2191753,1
1749254577.3219812,1
1749254577.4253588,1
1749254577.5276327,1
1749254577.632366,1
1749254577.7428048,1
1749254577.844908,1
1749254577.9480283,1
1749254578.0504248,1
1749254578.1524937,1
1749254578.254939,0
1749254578.3572655,0
1749254578.4591012,0
1749254578.561587,0
1749254578.6635423,0
1749254578.7654788,0
1749254578.8677862,0
1749254578.969976,0
1749254579.0733004,0
1749254579.1844697,1
1749254579.2876046,1
1749254579.390139,1
1749254579.4922893,1
1749254579.5946238,1
1749254579.6969268,1
1749254579.8012557,1
1749254579.9044955,1
1749254580.007858,1
1749254580.1113317,1
1749254580.2145615,1
1749254580.316551,1
1749254580.4191742,1
1749254580.5217116,1
1749254580.6244953,1
1749254580.727259,1
1749254580.830553,1
1749254580.9328623,1
1749254581.035739,1
1749254581.1388943,1
1749254581.2420504,1
1749254581.344349,1
1749254581.4464512,1
1749254581.5486736,1
1749254581.650406,1
1749254581.7526088,1
1749254581.8543663,1
1749254581.9564455,1
1749254582.0584853,1
1749254582.1607049,1
1749254582.2630439,0
1749254582.3653831,0
1749254582.4677753,0
1749254582.569467,0
1749254582.6719165,0
1749254582.773824,0
1749254582.8763115,0
1749254582.978422,0
1749254583.0807116,0
1749254583.1831589,0
1749254583.2868383,1
1749254583.3895268,1
1749254583.492666,1
