timestamp,signal
1749254553.4462218,0
1749254553.5496223,0
1749254553.652478,1
1749254553.754255,1
1749254553.856132,1
1749254553.9578176,1
1749254554.0601435,1
1749254554.1620383,1
1749254554.2655265,1
1749254554.368482,1
1749254554.470809,1
1749254554.5730414,1
1749254554.6756482,1
1749254554.7791033,1
1749254554.881792,1
1749254554.984568,1
1749254555.0866892,1
1749254555.1889367,1
1749254555.2910728,1
1749254555.3959134,1
1749254555.498526,1
1749254555.6008399,1
1749254555.7025938,1
1749254555.8047395,1
1749254555.9068794,1
1749254556.010987,1
1749254556.1159706,1
1749254556.218272,1
1749254556.3216653,1
1749254556.4248126,1
1749254556.5271375,1
1749254556.6297777,1
1749254556.7328823,0
1749254556.8348913,0
1749254556.9370024,0
1749254557.039872,0
1749254557.142379,0
1749254557.2449791,0
1749254557.348048,0
1749254557.4520614,0
1749254557.556133,0
1749254557.6582654,0
1749254557.760865,1
1749254557.8640592,1
1749254557.9665363,1
1749254558.0685887,1
1749254558.1707098,1
1749254558.2731771,1
1749254558.375708,1
1749254558.4780712,1
1749254558.580881,1
1749254558.685037,1
1749254558.7877996,1
1749254558.8900335,1
1749254558.9920256,1
1749254559.095035,1
1749254559.198033,1
1749254559.3000925,1
1749254559.4030635,1
1749254559.5058503,1
1749254559.608322,1
1749254559.7111294,1
1749254559.8143914,1
1749254559.917482,1
1749254560.0199256,1
1749254560.1216142,1
1749254560.2237225,1
1749254560.326205,1
1749254560.4299402,1
1749254560.5320373,1
1749254560.634239,1
1749254560.737397,1
1749254560.8396785,0
1749254560.942691,0
1749254561.0449831,0
1749254561.1468632,0
1749254561.249123,0
1749254561.3508792,0
1749254561.4531765,0
1749254561.5560942,0
1749254561.6578722,0
1749254561.7608476,0
1749254561.864164,1
1749254561.9670718,1
1749254562.0706506,1
1749254562.1730397,1
1749254562.2749336,1
1749254562.3771837,1
1749254562.4798617,1
1749254562.5815568,1
1749254562.6843827,1
1749254562.7866092,1
1749254562.889817,1
1749254562.9920297,1
1749254563.0949044,1
1749254563.1967611,1
1749254563.3001983,1
1749254563.4019835,1
1749254563.5039241,1
1749254563.6060786,1
1749254563.7087908,1
1749254563.8110313,1
1749254563.9144802,1
1749254564.0180523,1
1749254564.1204355,1
1749254564.2232115,1
1749254564.325569,1
1749254564.42782,1
1749254564.5306609,1
1749254564.632605,1
1749254564.734396,1
1749254564.837241,1
1749254564.9391189,1
1749254565.0424151,1
1749254565.1471868,1
1749254565.2501054,1
1749254565.3522136,1
1749254565.4540703,1
1749254565.5566397,1
1749254565.658812,1
1749254565.76139,1
1749254565.8641589,1
1749254565.9660957,0
1749254566.0699203,0
1749254566.17324,0
1749254566.2766433,0
1749254566.3855796,0
1749254566.491002,0
1749254566.5983422,0
1749254566.709358,0
1749254566.822407,0
1749254566.9469466,1
1749254567.0574005,1
1749254567.1604478,1
1749254567.262566,1
1749254567.3680239,1
1749254567.4706428,1
1749254567.5732825,1
1749254567.675075,1
1749254567.7776983,1
1749254567.880294,1
1749254567.9824247,1
1749254568.0855532,1
1749254568.18885,1
1749254568.2911358,1
1749254568.3942013,1
1749254568.496125,1
1749254568.5985417,1
1749254568.701174,1
1749254568.8037894,1
1749254568.9086487,1
1749254569.01929,1
1749254569.1335907,1
1749254569.2362568,1
1749254569.3389297,1
1749254569.4416337,1
1749254569.5437634,1
1749254569.6459265,1
1749254569.7481644,1
1749254569.8510637,1
1749254569.9545908,1
1749254570.056868,0
1749254570.1587489,0
1749254570.2609587,0
